Country,Year,GDP,Consumption,Public_Consumption,Public_Investment,Private_Investment,Debt,Taxes,Wages,Private_Capital,Public_Capital,DebttoGDP
Ireland,2014,218484.40291029497,88457.17335424563,34948.91735285148,4649.283318084783,44115.692937742344,221515.92384437766,72176.2950376857,82976.73506731147,404182.144248054,91062.47810920958,0.9308591244543106
Ireland,2015,272282.9,84500.2,33008.8,4605.8,66114.6,201574.8,71058.2,80971.6,412522.3849011679,91097.32551125152,0.7403138426981642
Ireland,2016,275613.3884693755,88519.41747572816,34582.98373886292,5357.585201166647,94014.34336170042,200324.52355267887,73736.36581565383,86269.7271165448,440891.46189223113,91332.62791161828,0.727674737115627
Ireland,2017,303473.9991339606,90990.23737353856,36234.499862221,5512.734716372083,98554.50143683817,197931.4451049089,75812.79770105892,90923.80821162855,502494.8376131205,92888.88563852459,0.6627325588813293
Ireland,2018,326805.7221425855,96622.20011896752,38425.338131039796,6573.442939472838,91175.14554018079,200455.97714263425,81169.4897073594,95848.61870910492,551344.1146220285,92505.13593242956,0.6290146899885419
Ireland,2019,343059.26512750867,97950.99592575827,40414.87475479101,7776.237362305719,182544.1376188321,191390.99517126908,83274.95473064737,100218.42462652785,590652.4312391861,93637.24063930672,0.591547060897984
Ireland,2020,367598.2242594661,89613.9401409807,46227.70694503293,8523.843457493933,152140.90366318708,209153.24910442586,80263.37583298024,102175.37845229382,619100.6185557813,127178.9418009432,0.5908437137789221
Ireland,2021,427363.26989602885,99659.30641456929,50027.922579169564,8614.73511669351,94352.11039425156,224125.39429921948,94981.94085749953,111759.0271887776,717047.6148387934,146674.16527643098,0.550308172382751
Ireland,2022,459462.8172096143,110102.00120001413,50419.0343415805,9640.6134189814,97149.08410687186,197305.52712384853,102211.4671937317,113463.62898387041,767994.2135052518,156420.34320160607,0.48667768451431703
Ireland,2023,447812.5213354271,120939.18549873696,54146.2415511709,10327.370792653786,111452.77189868233,186965.5902232539,105636.30777633646,121654.94640540726,745683.1734075833,151215.69500073962,0.48921990690810174
Ireland,2024,459450.09102560964,123618.81903455709,55453.45448311333,11929.74292408546,79705.45255647264,175830.45561787207,121315.83029234325,125010.40875805149,762150.4273042516,153874.84329670365,0.4687777937299283
Italy,1995,1.5066931624217678e6,870932.0927741892,263465.6447672278,38233.207269319595,299381.67274674523,1.8351502727668264e6,666686.6360989324,578730.2118544797,3.2252754575387696e6,841335.5818445871,0.7278516471378369
Italy,1996,1.5269764527211336e6,877939.8711313605,269922.29545421037,40162.781439377184,300326.30011353415,1.8584366199259819e6,683185.1491425959,591917.6951091845,3.2807438016102766e6,849553.2491812323,0.8254287731509533
Italy,1997,1.5563699444885012e6,903806.0779426758,276021.4399003059,41148.74815905743,305717.4011555455,1.8011411011668744e6,721289.3678486462,604965.5885351761,3.3223418494531387e6,856281.0578534058,0.8172181713634968
Italy,1998,1.5844561354609437e6,929309.8738763852,278700.1602675772,43350.985994007395,316319.83833879174,1.8113599052330852e6,713294.5439342207,588758.4140478016,3.3700256530372133e6,864903.0114458919,0.8203075307110881
Italy,1999,1.6110514146555027e6,956888.4419635528,283728.7254419088,45868.220872325284,328195.69857166306,1.821431346795819e6,729837.7387402178,600788.8688228533,3.4208844428662113e6,874985.4718305336,0.8263675435117516
Italy,2000,1.6735831451005698e6,996125.2285683552,298288.42637409916,46527.105517908996,355230.71958696353,1.819900639991395e6,735512.7998279014,614036.2482521243,3.4680197055424047e6,884729.3915996123,0.8087852127111741
Italy,2001,1.707159480790555e6,998065.0968625661,315396.25595199264,50459.85258626312,361779.40121322806,1.8524905094253472e6,750313.7433957341,627844.4980757941,3.544607471379384e6,897307.1700207917,0.8318066448849941
Italy,2002,1.7117774157700662e6,993899.833308077,318640.45057331916,41801.78814971965,373374.3749052887,1.8135851391624995e6,746565.1361317371,635865.1563368187,3.6128912979509206e6,911391.4103106662,0.8389769527096678
Italy,2003,1.7129186251468859e6,1.0002121278887583e6,326569.232275754,51892.381511946725,364581.6196631414,1.800509082452017e6,749270.4661182922,641878.4273403839,3.6896383681259616e6,914824.4069780082,0.8587354229240538
Italy,2004,1.738155167272944e6,1.0083946568072038e6,334767.7261613692,54115.33186236508,371266.50366748165,1.8205798795396267e6,750984.5548333233,648074.3037748226,3.7614639697474525e6,932095.6719031661,0.8782099715498517
Italy,2005,1.7514173053556408e6,1.0222360734648098e6,345024.0676698757,55055.37900738387,379592.36844564916,1.8595982101130947e6,752319.1419758856,662135.5967847462,3.8128712884917073e6,946136.8574574172,0.908788154104026
Italy,2006,1.7829260821360399e6,1.0407691252614614e6,348566.105453257,55832.161757478076,390893.0265519094,1.8944916503789048e6,783675.6620832332,676772.2799437643,3.8691127431034264e6,961081.3653353069,0.9296357356633995
Italy,2007,1.8090003011812998e6,1.0507561881602283e6,345630.08243443724,56613.16050732316,397880.1298426048,1.8716631900677097e6,819014.579405892,685910.8503352036,3.936017298061347e6,977164.3766106507,0.927523283939929
Italy,2008,1.790484842543272e6,1.0478934239621798e6,352224.8728255068,56091.84885025544,386065.1612692396,1.8943847150964565e6,808706.6871453002,693553.3697155867,3.9952692530277255e6,990820.3787737594,0.9713022744887994
Italy,2009,1.6955012308680296e6,1.0091223375789361e6,353018.30247243925,61383.92379321417,344457.34774697636,1.9691736059081664e6,779864.0693567377,676780.9054907417,4.0409887640863652e6,1.0031692042285228e6,1.0851062013432426
